ID,問題,解説,選択肢1,選択肢2,選択肢3,選択肢4
1192," If you haven't seen the latest musical, _______ go see it together.",  一緒に見に行けるんだけどなあ。という意味。 I'd like to go ならまあ、文法的には正しいが、ちょっとContext に合わない。,we could,I'd like,how about we,permit us
1193," _______ cheating on the test, there's very little chance that he will be able to get a passing grade.",,Without,Unless,Except for,But for
1194, Her violin performance left the audience thoroughly _______ by her skill., S+V+O+C の文型。空所にはC=補語が入る。つまり、 the audience の補語。awesome だと、 her violin performance の補語にはなりえるが、 the audienceの補語にはなりえない。the audience の補語になりえるのは、 awestruck のみ。,awestruck,awesome,awe-inspiring,awful
1195," Courses are automatically determined by a student's score, but upper-level students will still have to _______ elective courses.",  have to + 動詞の原型。,choose,choice,chosen,chose
1196, _______ employees in this firm have extensive experience working at overseas posts.,  Many の場合は、 Many employees か、 Many of the employees という言い方しかダメ。Many of employees は不可。Hundreds も A lot も、 of が必要。,Numerous,Many of,Hundreds,A lot
1197," I don't remember ever _______ him before, but he seems to know me well.", remember ...ing = ...したことを覚えている。 remember to 不定詞 = 忘れずに...する。ここは、前者。,meeting,have met,to meet,had meet
1198, The latest government statistics show that the economy is _______ at a slower pace than last year., 経済が伸びる、という意味で使える動詞は、この中では、expand だけ。,expanding,spreading,multiplying,stretching
1199," We had doubts about his ability at the beginning, but he has made _______ progress.", ここには、形容詞が入る。なので、 quickly(副詞)は不可。 quick ならOK,rapid,well,quickly,hardly
1200, Wendy applied for the _______ at the supermarket.,,position,employ,hiring,working
1201," We must have waited over an hour for her to come, but she never turned _______.",  ここは、自動詞の働きをする動詞句になる。 turn in は自動詞なら、床に入る。  turn outは、床から出る。起きる。turn back は引き返す。　turn up は姿を見せる。,up,out,in,back
1202, I'm looking forward to hearing you _______ your experiences in South America.,  describe は aboutをつけてはダメ。 talk には aboutが必要。 converse aboutなら可。,relate,describe about,converse of,talk
1203, Biologists have _______ a new species of butterfly in South America., 文意から「発見する」という意味の動詞の過去分詞がくることは明白。,discovered,invented,met,determined
1204, Organizers of the event have prepared a huge quantity of leaflets because they are expecting a big _______., turn-up はズボンのすそ、または、そで口。 turnover は(商品の)回転率。turnaboutは、政策転換、向きを変えること。 turnout は、出席者の数、総生産高、で文意に合う。,turnout,turn-up,turnover,turnabout
1205, This is the most delicious cheesecake I have _______ eaten.,  ever の使い方の一例。ever はこの例のように、最上級とともに従属節に使われる。,ever,hardly,seldom,scarcely
1206," I thought I heard a noise in the next room, but when I looked there was _______ there.",  no body は、　nobody ならOK. 二語にしてはいけない。but があるので、anything/someone は文意にそぐわない。,no one,anything,someone,no body
1207," We very much enjoyed sight seeing in the U.S., but we didn't much like _______.", there's food は意味不明。まるでだめ。　their foodはよさそうだが、彼らに相当する言葉が前にないので、 the food there の方がよい。,the food there,their food,that food,there's food
1208, The situation _______ for decisive action., 空所には動詞が入る。 necessary は形容詞。 require も need も for が不要。,called,required,needed,necessary
1209," You didn't have to go back and do it again, _______?",,did you,haven't you,don't you,do you
1210," I'll see _______ everything, so you needn't worry about making any of the arrangements.",  see to ...を取りはからう。 see through ... (物事の) 本質を見抜く。 see over ... ... を見て回る、調査する。 see ... around  ...を案内して回る、...をよく見かける。,to,through,over,around
1211," Lately, it seems they no sooner put up a building _______ they're tearing it down.",  no sooner ... than ?  =  ...するや否や、?する。,than,but,when,before
1212, I hope you'll remember to write me _______ you get home.,,as soon as,if,whenever,in case
1213," Even though everyone is convinced the project is too difficult, I'm eager to _______ it.", challenge はこういう趣旨の文には使えない。日本語のチャレンジするとはかなり意味が違う。　challenge の目的語は通常は人で、(人に)勝負を挑む　というようなときに使う。,attempt,challenge,dare,bear
1214," The boy had stuck his hand into the jar, but then couldn't get it _______.", off は近いが「抜く」というイメージではなく、「はずす」「取り除く」という感じ。ここでは、「抜く」というイメージの out が良い。,out,off,through,past
1215," At his age, he finds it almost impossible to understand _______ generation.", 若い世代は、 the younger generation,the younger,now's,young people,present
1216, It's high time we sat down and seriously _______ this matter., discuss は他動詞。 前置詞は不要。つけてはダメ。 ところで、これは、仮定法過去、 It's time you went to bed. と同じ用法。,discussed,discussed about,discussed on,discussed over
1217, This tax form isn't quite the same _______ the one I filled out last time.,,as,with,from,than
1218, He is hoping to find employment in a _______ firm., 語順の問題。firm (会社) との結びつきが強いものほど、firmのそばにくる。,major foreign trading,foreign major trading,major trading foreign,foreign trading major
1219," Since all we need is her approval, it isn't necessary that she _______ to our office.",  it is necessary that のあとの節に使われる動詞は、原型が使われる。  it is essential that も同様。,come,comes,came,had better come
1220," Because his writing style is always so wordy, I advised him to write _______", 文意から、「簡潔に」の意味の briefly が適切。,briefly,shortly,concisely,promptly
1221, _______ brothers take after their father.,  Both the brothers は一応可能だが、あまり、一般的ではない。Both of the brothers なら正用。,Both,The both,Both two,Both of
1222," If I should see Mr. Leone before I leave, I _______ him your message.", would give (仮定法) か、 will give (直接法) のどちらか。,will give,gave,would've given,give
1223," We weren't able to finish the report, but there is only _______ left to be done now.","  The word ""any"" can only be used in interrogative or negative sentence. ""only a little"" is OK but ""only little"" is NG. The word ""somewhat"" is an adverb so you cannot use in this context.",a bit,little,any,somewhat
1224," She left the plastic container on the stove, and it was _______ by the heat.", 文意から deformed (変形した) 以外は選べない。,deformed,unformed,reformed,conformed
1225," _______ his new position is more prestigious, the fact that he no longer receives overtime pay means that he actually makes less.", 前半の文章と後半は対照的な内容なので、Because はおかしい。prestigious は「一流の」という意味の形容詞。,Although,Because,Even,Despite
1226," Ever since Frank was transferred abroad, he has been having troubles in his _______", matrimony は「結婚生活」という意味で、日本語で考えるとよさそうだが、宗教的、法律的な用語で、ここには不適。wedding は結構式のこと。,marriage,matrimony,wedding,spouse
1227," She was surprised when we finally got there, because it was quite different from what she had _______.", 動詞の過去分詞がくる。 portray は描写するという意味はあるが、思い描くという意味はない。 picture は絵を描くというだけでなく、思い描くという意味がある。,pictured,imagination,impression,portrayed
1228,"   I knew he was a tough manager, but I had no idea he would have us _______ this hard.",  have + 人 + 動詞の原型　なので、どれも不可に思えるが、 「状態の継続」などの場合は、ingの形を取ることがある。 (例) He had a taxi waiting. ,working,to work,to working,would work
1229," If he had told me that he was going to take the day off today, I _______ myself.", 仮定法過去完了。,wouldn't have come,won't come,hadn't come,would not come
1230," She said she'd have it done in four days, but _______ she's still working on it.", 文意からこれしかない。,two weeks later,two weeks ago,in two weeks,for two weeks
1231, Please dispose of food and beverage containers as you _______ the theater,,leave,have left,left,leaving
1232, The police are baffled because the thieves _______ the museum without being detected despite the excellent burglar alarm system., 単に過去の事実を述べているだけなので、単なる過去形が正しい。 could enter は過去に能力があったと言っているだけ。 could have + 過去分詞 は過去の事実の反対を仮定するときの用法。,entered,could enter,have entered,could have entered
1233," I expected you _______ better on this test than you did, Mary.", 後ろに、 than you did とあるので、それに合わせて、beではなく、 do を選ぶ。   expect +人+ to 不定詞。,to do,to be,doing,being
1234, Please excuse this interruption and proceed _______ your work.,"  proceed = 続行する。 in this case you should use ""with""",with,for,onto,upon
1235, There have been several _______ changes in the administration.,"  must be adjective since it modifies the noun ""changes"".",significant,signified,significance,significancy
1236," To my surprise, traveling by rail has much to offer in the way of _______ beauty.","  must be adjective since it modifies the noun ""beauty"".",scenic,scenery,scenario,scene
1237," We _______ to go to the play last night, but Bob was sick.",  過去の事実の反対なので、仮定法過去完了を使う。,would have loved,love,would loved,had loved
1238," He may seem determined not to sell the property, but I'm certain he will _______ give in.", ever は肯定文には最上級と一緒に使うとき以外は使えない。sometime は文頭か、文尾に置く。,eventually,sometime,once,ever
1239, It's best to get _______ against yellow fever before traveling in that area.,"  shot, injection は、冠詞が必要。get an injection against...  vaccine は、 vaccined ならOK. どの単語も予防接種を意味する(品詞は違うが)",inoculated,shot,injection,vaccine
1240, She claims she saw a woman with _______ leave the scene of the crime shortly after the murder.,,"long, straight black hair","long, black straight hair","black, straight long hair","black, long straight hair"
1241, May I speak to someone in a position of _______?,  should be noun. authorization=認可。 authority=権威。 a position of authority 権威のある地位。,authority,authorization,authorize,authoritative
1242," Unless a parent _______ a child to make some of his own decisions, the child will never learn to think for himself.","  make/let/have all these three must not be used with ""to"". ",allows,makes,lets,has
1243," Paul ran for the fire extinguisher, but was shocked to find that somebody had _______ it."," if others, he was able to find it.",removed,recovered,replaced,restored
1244," Before we sign this contract, we have questions about _______ of the conditions.","  Any others cannot be followed by ""of"" since they are all adjective. For example, ""the particular conditions"" is OK.",a number,certain,specific,particular
1245, There is a diagram illustrating the process _______ page 5.," ""in"" is used when several pages are included, such as, ""in the first pages of the book"".",on,in,upon,over
1246, She's been under a great deal of pressure _______.,  This sentence is present perfect continuous tense! Any others cannot be used for perfect tense.,this year,on January 13,last week,before she received your letter
1247," There is no law prohibiting it, but the embassy suggests that citizens _______ that country.",  suggest + (that clause) で否定の場合は、このようにする。肯定の場合は、動詞は原型。いずれの場合もshould が省略されたと考えればいい。,not enter,not to enter,can not enter,don't enter
1248, Do you think _______ outside now?, 文意よりここは進行形がよい。 it is raining なら正解。  ,it could be raining,there's raining,it rains,the weather rains
1249, The marketing division has advised waiting for more _______ market conditions before launching the new project., ここには形容詞がはいる。選択肢はすべて形容詞か、その働きをするものなので、意味で選ぶ。  favorite は、「気に入った」という意味なのでここには合わない。,favorable,favorite,favoring,favored
1250, The success of our nation's foreign policy is chiefly due to her skill in _______., diploma = 卒業証書  diplomacy=外交(術) diplomat=外交官,diplomacy,diploma,diplomat,diplomatic
1251," We talked to many experts in the field, but we didn't meet anyone who could give us _______ information on this particular subject.", information is uncountable,a bit of,an,one single,many
1252, Miss Williams has been _______ to assistant manager., raised ならOK. 昇進した。,promoted,put,lifted,raise
1253," When I opened the trunk, I was shocked to see that we didn't have _______ a jack or a usable spare tire.",,either,both,nor,neither
1254," You'd better move your car away from that fire hydrant, or it will be _______.", レーカー移動するは、英語で、tow という。,towed,dragged,pulled,snatched
1255, He didn't go to the beach with the others because he wasn't used to _______ in cold water.,  be used to + 名詞 ( 慣れている) 　used to + 不定詞　(かつては?したものだ) と混同させる問題。,swimming,swim,swam,have swum
1256, Harold plans _______ most of his money in small- to medium-sized companies.,  plan to+不定詞,to invest,investing,investment,invested
1257, I'm afraid I'm _______ in his debt to be able to ask him another favor.,  too ? to の構文。,too much,excessive,really,much
1258," Even though he has no money, my brother _______ a brand new luxury car yesterday.", 単純な過去形。 simple past tense. 事実の反対を表す仮定法ではない。,bought,has bought,would buy,would have bought
1259," With the death of her pet squirrel, Twixie, she was determined never again to become _______ to any animal.",,attached,latched,secured,fastened
1260," _______ you have other plans, we would be pleased to have you over for dinner this Saturday.",,Unless,Except,If,Considering
1261," Although he's at least fifty, his wife looks to be _______.",  thirty years old ならOK. therty years だけはだめ。　thirty だけでもOK.,in her thirties,mid-thirties,thirty years,at thirty-five
1262," Five o'clock to six o'clock is _______ as ""Happy Hour"" because drinks are sold at half price during that hour.",,known,called,noted,referenced
1263, There is _______ who I feel I can truly confide in except Marvin.,,no one,no people,anyone,not everyone
1264, Deliver the package to us _______ tomorrow or there will be serious consequences.,,by,on,at,until
1265, I'll be happy to take that petition to Ms. Bryson _______.,,myself,ourselves,himself,oneself
1266, Investment decisions need to be made on the _______ of sound judgement.," if you want to select ""purpose"", the preposition should be ""for"" instead of ""on"".  ""in the interest of ..."" is ok, and ""with an instict for ..."" is also ok.",basis,purpose,instinct,interest
1267," All the UCLA fans coming out of the stadium are smiling, so their team _______ the game.",,must have won,had won,would have won,could win
1268, The design department has requested that the deadline be _______ for two more weeks.,,extended,lengthened,increased,stretched
1269, The lead pipes used in old houses are now known to be _______ to the health.,,injurious,injuring,injured,injury
1270, It is important that the construction meet the prescribed _______.,,standards,levels,degrees,principles
1271," _______ she grew up in the United States, she was unable to pass the test on English sentence structure.",,Although,Even,Despite,However
1272," Using modern communication technology, financial _______ can now be conducted electronically.",,transactions,transportation,transitions,transformations
1273," The dress was slightly big for me, but I had it _______ to fit me.",,altered,varied,converted,transformed
1274," By the time we made it to the party, everyone _______ home.",,had gone,were gone,went,had been gone
1275," A growing firm in the field of business software is looking for an experienced, _______ salesperson for one of its overseas offices.",,self-motivated,self-involved,self-fulfilling,self-important
1276," I'm sure I was the last one out, so there shouldn't be _______ left inside.",  not ... any. 否定語句と組み合わせられるのは、 any がついている anybody だけ。,anybody,somebody,nobody,everybody
1277, The prize goes to the contestant _______ frog covers the greatest distance in three hops., 関係代名詞、所有格。,whose,which,of which,that
1278, The difficult relations between staff and management at that company are reflected by a high _______ rate.,,turnover,recruitment,employment,resign
1279, He decided to look for another job because he had too much trouble getting _______ with his coworkers.,,along,by,in,through
1280," The property has been on the _______ since last year, but it hasn't sold because the owners are asking too much.",  on the market = 「売られている」,market,shop,sale,trade
1281, Most babies are able to sit up by themselves for a short time _______ they are six months old.,,when,until,from,at
1282," Before the bank can approve your loan, we will have to confirm that you possess all of the _______ you have listed.",,assets,credits,wages,values
1283," The union has run out of patience, and _______."," so が前にくると倒置がおきる。　the administration has, too. でもよい。もしくは、the administration has also.",so has the administration,so the administration has,neither hasn't the administration,neither has the administration
1284, The fans chased after the rock star's limousine _______ screaming frantically.,,while,with,and,also
1285," If the client finds this particular clause objectionable, there is no problem in simply _______ it out of the contract."," any others should be followed by ""from"" like ""deleting it from the contract"".",leaving,deleting,removing,omitting
1286," If we _______ this wonderful house, we never would have settled down here.",,hadn't found,didn't find,haven't found,wouldn't have found
1287," While our firm can meet all outstanding debts by liquidating assets, we are presently investigating _______.",,alternatives,alternates,alternators,alternations
1288, They absolutely guaranteed that the shipment would arrive _______ one week.,,within,by,at,until
1289," Due to the recent setbacks the company has experienced, the administration has been forced to lay _______ 20% of its workforce.",,off,out,back,over
1290," The further inland we went, _______."," the+比較級 , the+比較級。",the more desolate it became,it became more desolate,the desolate more it became,it became the more desolate
1291, _______ of the manufacturers produces a product that surpasses our new line.,  Neither 以外は複数扱いなので、動詞が produce になる。,Neither,Both,Some,All
1292," You should keep in mind that if you cash these bonds before they _______, you will have to pay a penalty.", 債権(bond) が満期になることを　mature という。,mature,age,grow up,develop
1293, He's a master economizer and can get by on _______ money., 彼は大の倹約家なので、ほんのわずかの金でやっていける。　just a little なら OK.,very little,only few,just little,only any
1294," In order to encourage participation by the staff, the company decided to offer _______.", a grant=「奨学金」 an incentive = 「報奨金」,an incentive,a recommendation,a grant,a donation
1295, I plan to leave for the airport to pick her up as soon as she _______ me.,,calls,called,will call,had called
1296, It wasn't _______ he had lived abroad for several years that he could appreciate his own country.,,until,after,when,that
1297, Don't put down a deposit to rent the auditorium until you're sure the seating _______ will be sufficient for our membership.,,capacity,size,quanitity,content
1298," The money may be all right, but I've never worked _______ in my life.", hard is adverb. ,harder,more hard,hardlier,more hardly
1299," Despite the _______ for a steep climb in value, the stock we invested in plunged twenty points in the first week.",,forecast,foreword,foresight,forethought
1300, It is difficult to rate this device because there is no _______ product available.,,comparable,comparison,compared,comparative
1301," Even though he has a well-paying job, he's always busy _______ the newspaper ads in hopes of finding a better opportunity.",,scanning,seeking,finding,detecting
1302, He's tired of always renting and has been putting aside money to buy a home _______., a home (house) of one's own. =「自分の持家」。日本語のマイホームは和製英語。,of his own,himself,for him,his own self
1303," Everyone in favor _______ passing this motion say, ""Aye.""",,of,to,at,in
1304, It is always hard to manage a new group of people when your _______ was as popular as Ms. Rodrigo was.,,predecessor,preposition,former,quarterly
1305," It is most often diagnosed in women, but I've seen it in some men, _______.",,as well,as well as,might as well,do well
1306, The government _______ the new regulations about dioxins.,,publishes,brings out,manufacturers,attracts
1307, You really ought to pay more attention _______ the road when you drive., pay attention to? ?に注意を払う。,to,in,into,off
1308, Dr. Van De Hoorn _______ to Dr. Nyquist in the hierarchy of the West Belmont Hospital administration.,,was subordinate,subordinate,subordinated,subordinately
1309, Why _______ make it by yourself?,,don't you,not,don't,how about
1310," After living in the compound for a few months, most of the new employees had gotten _______ the maintenance staff.",,acquainted with,acquainted of,acquaintance,acquaint
1311," Considering the fact that this blizzard is getting worse, we _______ find a hotel room near the airport and leave tomorrow.",,might as well,might well,as well as,as well
1312, Warm towels were _______ on all flights until this year.,,provided,providing,reserving,reserved
1313, After graduation from college she was working for a company which specialized in computer _______.,,graphics,graphic,graphite,graffiti
1314, It makes _______ if you were acquainted with her before the case or not.,"  ""make a difference"" is OK. but make ""some differences"" is not natural.",no difference,some difficulty,some differences,no difficulty
1315, The contract _______ that all employees must take a preliminary health examination.,,stipulates,maintains,manufactures,notices
1316, There is no _______ mistakes when you are traveling at such high speeds.,,room for,room of,rooms of,rooms for
1317, Mr. Bukowski's complaint about the drinking fountain is incredibly minor and _______.,,petty,effective,graphic,complex
1318, Mr. Connors' _______ was so convincing that the board of directors decided to act on his plan right away.,,argument,argue,addition,additional
1319," Even though some sections are doing well, the _______ picture looks bleak.",,overall,consuming,relocation,noticeable
1320," Ms. Wiley is a competent manager, but she still becomes overly nervous before _______.",,presentations,presents,presence,present
1321, He decided to turn _______ the offer in Memphis.,,down,up,at,around
1322," At the end of the meeting, Mr. Hay _______ some additional comments.",,offered,promoted,supposed,relied
1323," Because the market for video repair was decreasing, Mr. Hwang thought about a _______ change.",,career,carrier,agenda,addendum
1324, All of the _______ on this table are marked down 20%.,,items,statements,agendas,additions
1325, I'm sure we have _______ name cards at the office.,,more than enough,more enough,more than,enough more than
1326, It is clear from Canadatech's _______ that they intended to take over the entire telecommunications industry in Canada.,,proposal,expense,promotion,career
1327, Dr. Siddiqui was very upset _______ the firing of 15% of the emergency room staff.,,about,around,because,in
1328, Mr. Kim was so excited about his _______ that he called his wife immediately.,,promotion,promoting,promoted,promote
1329, We got started on the job three days ahead _______ schedule.,,of,from,with,in
1330, Everyone on the executive committee was _______ to check their e-mail every morning.,,supposed,put,on the verge,consult
1331, Mrs. Fischer did not know if she could keep _______ many of the younger students in her computer programming course.,,up with,in with,up to,on going
1332, Ms. Wabash knew she could rely _______ her manager for support after one of her buyers threatened to sue the company.,,on,after,in,with
1333, Orders for the Peking duck need to be made twenty-four hours _______ advance.,,in,on,with,to
1334, The manager gave permission for the waitresses to smoke in a specially _______ room next to the kitchen.,,designated,designating,design,describe
1335, Economists believe that the jobless rate will _______ to 3.8% by spring.,,soar,remark,sear,fly
1336, Pioneer Savings Bank has announced a merger _______ Eastern Savings&Loan.,,with,of,to,between
1337, I have to go _______ my speech in preparation for my presentation tomorrow.,,over,under,around,with
1338, Stickers on music CDs now _______ parents of bad language or violent content.,,warn,worn,show,warning
1339, It is imperative that she not _______ behind shedule on her first really important project.,  fall behind shedule = スケジュールに遅れる。 It is imperative that のあとの節は、動詞は原型になる。 It is essential などと同じ。,fall,go,fell,come
1340, The president will _______ his candidate for vice president today.,  will のあとなので、当然動詞の原型になる。文法的に正しいのは、 numerate と nominate だけ。numerate は、「数える」  という意味。,nominate,numerated,nominated,numerate
1341, The incredible _______ cost is justified by the potential for huge profits in the future., cost を修飾する形容詞。形容詞は、 initial と inertial しかない。inertial は「惰性の」という意味。,initial,inertial,initials,inertia
1342, Mr. Hwang spent the entire day familiarizing himself _______ the new software.,  familiarize oneself with ?　?を熟知する。?になじむ。,with,to,without,up
1343, The survey says that _______ costs have been cut for the third consecutive quarter.,,operating,operate,operations,operated
1344," In this blank, you should write who should _______ notified in case of an emergency.",,be,been,want,go
1345, Soon Kumiko will be able to apply _______ permanent residence in Australia.,,for,with,to,in
1346, The congressman urged his colleagues to support the _______ in the upcoming vote., measles はしか / ongessman 米国の下院議員 / measure 法案,measure,measles,measurement,leisure
1347, The new regulations are supposed to _______ effect at midnight Tuesday., come into effect/take effect/go into effect = 有効になる,go into,take into,come of,make
1348, There was no _______ response from the delegates.,,immediate,immediately,mediant,immolate
1349, Sufficient vitamin C is difficult to obtain _______ today's diet.,,from,of,to,at
1350, The port was the _______ point for all of the sailors on leave.,,entry,entree,entity,entrant
1351, The company plans to raise the number of women in _______ management from 10% to 30%.,,senior,senile,seniors,seniority
1352," If you want to leave the office for a few hours, you need the manager's _______.",,permission,addmission,participation,perception
1353, Anyone wishing to _______ in the new project should apply before this weekend.,,participate,permit,anticipate,search
1354, Several countries say they have _______ diplomatic relations with the new republics.,  「いくつかの国が、新しい共和国諸国と外交関係を結んだとのべている。」,established,published,extinguished,establish
1355, She was _______ to leave her husband behind like many of the other evacuees.,  「彼女は、ほかの避難者と同様に、夫を残して立ち去ることを強いられた。」,forced,compulsory,enforced,coerce
1356, Analysts regard this as _______ the most significant arms control agreement ever.,  by far は「はるかに、断然」という意味で、最上級、時として比較級を修飾する。  「アナリストたちはこれを、これまでよりもはるかに意義深い軍備制限の合意だとみなしている。」,by far,far,by for,far more
1357, The new assistant manager had received numerous warnings that he was neglectful _______ his duties., be neglectful of ? = ?に無関心である。?を怠っている。  「新しい店長代理は、職務怠慢であるという警告を何度も受けていた。」,of,to,around,up to
1358, The idea of going to the mountains in the summer was very _______ to Ms. Nguyen.,  「夏に山に行くという考えは、ニューエンさんにはとても魅力的だった。」,appealing,appealed,exceeded,exceeding
1359," Ms. Flaubert's major at university was _______, with a focus on fashion.",  「フローバートさんの大学での専攻は広告で、特にファッションを中心に勉強した。」,advertising,advertised,appealed,appealing
1360, The international cargo company guaranteed _______ delivery of all international airfreight within three days.,  「その国際貨物会社は、すべての国際航空貨物を３日以内に迅速に配送することを保証した。」,prompt,innovative,invoice,sophisticated
1361, We simply cannot afford _______ buy a new car this year.,  「私たちには今年、新車を買う余裕なんてない。」,to,in,into,not
1362, Mrs. Wilson's move to Texas brought her into contact _______ Hispanic culture.,  「テキサスに引っ越したことがウィルソンさんに、スペイン語圏の文化に触れる機会をもたらした。」,with,without,to,between
1363, I wonder _______ the hurricane will be as damaging as last year's?, 「ハリケーンは昨年のと同じくらい災害を起こすでしょうか。」,if,of,at,on
1364, She said she was in a _______ because she had to meet someone., 「彼女は、人と会わねばならないので急いでいるといった。」,hurry,hairy,hurdle,hurricane
1365, Some people think CD sound quality is not superior _______ that of vinyl records.,  「CDの温室はビニールのレコードよりも優れてはいないと考えている人もいる。」,to,as,than,of
1366," After having her first child, Mrs. Jenkins quit her full-time job and only took some occasional _______ jobs.",  「一人目の子供をうんだあと、ジェンキンスさんはフルタイムの職をやめてフリーランスとしてときどき仕事をしているだけだ。」　,freelance,freelanced,convincing,convinced
1367, In 1987 he was involved in an _______ accident when a truck hit the car he was driving., 「1987年に彼は、運転中の車にトラックがぶつかるという交通事故に逢った。」,automobile,automobiles,automatic,automated
1368, Helen _______ an ad about her lost dog in the local paper's lost-and-found section.,  「ヘレンは地元紙の遺失物広告欄に、行方不明の愛犬を探す広告を出した。」,placed,place,gave,sent
1369, Most of us use only half of our full breathing _______.,  「私たちはたいてい、呼吸能力の半分しか使っていない。」  potential = 潜在能力,potential,portent,potency,potent
1370, Once again the european Community has _______ from the brink of political crisis.,  「ヨーロッパ共同体はふたたび、政治危機の瀬戸際から引き返した。」  brink = 縁     pull back = 引き返す。ためらう。約束を破る。,pulled back,pulled off,hunted off,held back
1371, The suspect has been arrested but police continue to hunt _______ the alleged victim's body.,  「容疑者は逮捕されたが、警察は引き続き被害者の遺体を捜索している。」  suspect = 容疑者   arrest = 逮捕する   alleged = 申し立てられた victim=犠牲者　body=遺体,for,with,around,near
1372, The all-star university rugby team was _______ by the corporate league champions.,  「大学ラグビーのオールスター・チームは、社会人リーグの優勝チームに一蹴された。」  dominate = 牛耳る、優勢な位置を占める、支配する,dominated,dominate,dominating,domination
1373," Even though some of the group got lost, everyone turned _______ at the station at five o'clock.",  「グループの中の何人かは道に迷ったが、全員が５時に駅に現れた。」  turn up = 現れる。　turn in = 提出する。 turn down = 却下する。 ,up,in,down,around
1374, Consumers have been _______ to buy anything with a famous brand name on it.,  「消費者は、有名ブランド品を何でも欲しがってきた。」,eager,eagerly,eagle,angle
1375, We will _______ to our plan and hope things go well.,  「私たちは自分たちの計画を忠実に守りますし、万事がうまくいくことを願っています。」  adhere to = 守る,adhere,cohere,ad hoc,adhesive
1376, The situation is made worse by a lack _______ information.,  「情報不足のために、状況はさらに悪くなっている。」,of,to,in,for
1377, Analysts are predicting _______ for fiscal 1999 of $1.80 a share.,  「アナリストたちは、1999会計年度には１株当たり1.80ドルの利益があると予測している。」  predict 予測する / fiscal year 会計年度 / share 株式,earnings,awnings,yearnings,earrings
1378," The video, released this week, is _______ by mail order only.", 「そのビデオは今週発売されて、メールオーダーのみで手に入れられる。」,available,availability,avail,avoidable
1379, We have received your order and have put one _______ until you can come and pick it up., 「ご注文をお受けしましたので、お求めにご来店できるまでお取り置きしてあります。」,on hold,on the hold,in hold,holding
1380, Most investors with your needs are better _______ investing in conservative retirement investment packages., be better off ?ing ?したほうがいい。 「あなたのようなニーズを持つ投資家は、保守的な退職年金投資計画に投資したほうがよい。」,off,with,when,that
1381, Could you call me _______ in ten minutes? I have a customer now., 「10分後に電話してくれますか。今はお客様がいるので。」,back,over,off,around
1382," I've had enough of this job, and I'm going right now to go tell the boss that I _______.", 「この仕事はもんたくさんだから、今すぐに上司にやめるといいにいくよ。」,quit,quiet,quite,quote
1383, Dr. Grey is very _______ in the indigenous species., 「グレー白紙は原産種にとても興味がある。」,interested,interest,interests,interesting
1384, _______ can be made by sending checks made payable to the AI Cappuccino Foundation.,  make a donation 寄付をする。 Donations can be made か、 A donation can be made しかありえない。 「アル・カプチーノ財団に支払い可能な小切手を送れば、寄付ができます。」,Donations,Donate,Donation,Dalmatians
1385, Would you _______ if I asked you a few personal questions?, 「個人的な質問をいくつか伺ってもいいでしょうか。」,mind,bother,mend,don't mind
1386," Even though Mrs. Polat was _______ her doctor, she still went to him because she felt an obligation to him.", 「ポーラットさんはかかりつけの医者にうんざりしていたが、恩義を感じていたので、まだ、その医者に見てもらっていた。」,fed up with,fed with,come up,come up with
1387, Listen to the choices and press the _______ of the choice that you would like more information on., 「選択項目を聞き、さらに情報が知りたい項目の番号を押してください。」,number,numbers,numerals,amount
1388, We have just installed a new computer _______ system to handle the large number of calls we get., 「多数の問い合わせに対応するため、新しいコンピュータ指示システムを導入したところだ。」,direction,director,diversion,directions
1389, Mr. Watanabe! I'm happy to finally meet you _______., 「渡辺さん、とうとうじかにお会いすることができましたね。」,in person,to person,on person,personal
1390, It is essential that we _______ this project by March 20th., 「3/20までにこのプロジェクトを仕上げることが肝要だ。」,finalize,final,finals,finale
1391, Could you put me _______ to the concierge?, 「お客様係りにつないでもらえますか。」 concierge ホテルのお客様係り,through,on,with,in
1392, The cabinet planned to _______ a ministerial-level meeting today to deal with the crisis., 「内閣は、危機に対処するために、大臣レベルの会議を今日開く予定だった。」  miniterial-level 大臣レベルの,hold,do,give,held
1393," I _______ to say it, but I didn't think the movie was as good as everybody says it is.", sorry の場合は、 am sorry でないとだめ。 「いいにくいのですが、あの映画はみんながいうほどいいとはおもいませんでした。」,hate,can't,like,sorry
1394," If the music _______ you, just go to your neighbor's apartment and tell her to turn it down.",  「音楽が気に障るなら、隣の部屋に行って彼女に音量をさげてくれと言えば良いじゃありませんか。」,bothers,bother,boring,bored
1395, Opening the emergency exit door will make the alarm _______.,  「警報が鳴る」と言う場合は、 go on ではなく、 go off になる。 「非常口のドアを開けると警報装置が鳴ります。」,go off,go out,go in,go on
1396," If I'm not home, please _______ a message on my answering machine.",  「私が家にいなかったら、留守番電話にメッセージを残してください。」,leave,post,tell,say
1397, The optometrist will _______ the patient to a doctor if signs of disease are present.,  「病気の症状がある場合には、検眼士は患者を医者のもとに差し向ける。」,refer,reference,give,tell
1398, It is essential to _______ the political issues at hand instead of trying to find dirt on the other candidates.,  「ほかの候補者のスキャンダルを探すより、目の前にある政治的な問題を取り上げることが肝要です。」 dirt = 汚点,address,addressed,dress,tell
